director_id|first_name  |last_name       |relative_rating|
-----------+------------+----------------+---------------+
       1461|Brian       |Helgeland       |     6.38300000|
       2300|Robert      |Siegel          |     6.28420000|
         29|Wayne       |Berwick         |     6.25610000|
       3729|Michael     |Oblowitz        |     6.25230000|
       2042|Matt        |Williams        |     6.25000000|
        504|Martin      |Davidson        |     6.20930000|
       3919|M.F.        |Hussain         |     6.20200000|
       3668|Peter       |Capaldi         |     6.15630000|
       3133|Aditya      |Chopra          |     6.15150000|
       1982|Harald      |Bergmann        |     6.12000000|
       3337|Élie        |Chouraqui       |     6.11340000|
        834|Paul        |Verhoeven       |     6.10990000|
       3760|Tony        |Spires          |     6.09890000|
       3663|Lula        |Hollanda        |     6.08490000|
       3607|Arto        |Paragamian      |     6.07770000|
       3988|Greg        |Berlanti        |     6.07290000|
       2052|Anthony     |Dalesandro      |     6.06670000|
        586|Robert      |Manganelli      |     6.05410000|
        779|William     |III             |     6.05410000|
       4281|R.J.        |Adams           |     6.05410000|
        576|John        |Schlesinger     |     6.05000000|
       1668|Vic         |Sarin           |     6.03570000|
       1208|Karl        |Hirsch          |     6.03330000|
       2416|Renny       |Harlin          |     6.02970000|
       2135|Jan         |Troell          |     6.02130000|
       1757|Terry       |Winsor          |     6.01900000|
       3809|Sanjay      |Gupta           |     6.01890000|
        675|Thaddeus    |O'Sullivan      |     6.01850000|
       3148|Renzo       |Martinelli      |     6.01100000|
       1884|Neil        |Hollander       |     6.01080000|
       2234|David       |Hillenbrand     |     6.01040000|
       3163|Christopher |Goode           |     6.00990000|
        910|Karim       |Hussain         |     6.00940000|
       4056|Clement     |Virgo           |     6.00890000|
       4280|Chuck       |Parello         |     6.00880000|
         67|Mazhar      |Khan            |     6.00000000|
        875|Cameron     |Thor            |     6.00000000|
       1292|Ron         |Underwood       |     6.00000000|
       2460|Peyton      |Reed            |     6.00000000|
       3081|Roberto     |Meddi           |     6.00000000|
       3416|Bernard     |Rapp            |     6.00000000|
       3733|Susan       |Hebert          |     6.00000000|
       3592|Simon       |Jones           |     5.98980000|
       3875|Kate        |Montgomery      |     5.98900000|
        804|Joe         |Johnston        |     5.98890000|
       1845|Markku      |Pölönen         |     5.97850000|
       2961|Marc        |Grenier         |     5.97750000|
       1959|Roberto     |Faenza          |     5.96510000|
       1099|Mars        |Callahan        |     5.96470000|
       3507|M.          |Shyamalan       |     5.96300000|
       2057|Mitchell    |Bard            |     5.95880000|
       1586|Melanie     |Mayron          |     5.95450000|
       3943|Juan        |Tabío           |     5.94640000|
        403|Bibo        |Bergeron        |     5.94230000|
        410|Douglas     |Green           |     5.93880000|
       1840|Steve       |Miner           |     5.93810000|
       3327|Vondie      |Curtis-Hall     |     5.93200000|
        327|Bharat      |Nalluri         |     5.92790000|
       2069|Donald      |Borchers        |     5.92730000|
       3296|Gavin       |Wilding         |     5.92710000|
       3487|Bradley     |Battersby       |     5.92080000|
       4229|Kyle        |Cooper          |     5.92080000|
       1949|Robert      |Vince           |     5.91760000|
       2873|Peter       |Kock            |     5.91670000|
       1287|John        |Shepphird       |     5.91570000|
        951|Peter       |Jackson         |     5.91543333|
       1732|José        |Morais          |     5.91000000|
       2194|Andrew      |Slee            |     5.90320000|
       4003|Gregory     |Mosher          |     5.90180000|
       3512|Abel        |Ferrara         |     5.90000000|
        451|Peter       |Gould           |     5.88890000|
        398|Dean        |Murphy          |     5.88570000|
       2109|Gina        |Prince-Bythewood|     5.88350000|
       1802|John        |Ottman          |     5.88240000|
       4018|Carlos      |Siguion-Reyna   |     5.87760000|
        620|Philip      |MacKenzie       |     5.87640000|
       4013|Anh         |Tran            |     5.87610000|
       1193|Peter       |Askin           |     5.87380000|
       1689|Solveig     |Nordlund        |     5.87380000|
       2516|Ludger      |Dreimann        |     5.87380000|
       4031|Luis        |Mandoki         |     5.87370000|
       3983|Brian       |Yuzna           |     5.87230000|
       1637|John        |Malkovich       |     5.86960000|
       1968|Lyndon      |Chubbuck        |     5.86960000|
       2883|Eric        |Styles          |     5.86730000|
       3948|Chris       |Hall            |     5.86730000|
       1997|John        |Berry           |     5.86490000|
       1302|Darren      |Aronofsky       |     5.86460000|
       1663|Noel        |Quiñones        |     5.86320000|
       2765|Pavel       |Schnabel        |     5.86270000|
        961|Jonathan    |Frakes          |     5.86200000|
       2770|Dominique   |Deruddere       |     5.86170000|
        705|António     |Ferreira        |     5.86140000|
       2145|Manoel      |Oliveira        |     5.85710000|
       1752|Luigi       |Magni           |     5.85440000|
       1924|Mark        |Piznarski       |     5.85440000|
       2878|João        |Botelho         |     5.85440000|
       2831|Daniel      |Waters          |     5.85290000|
       2410|Steve       |Buscemi         |     5.85250000|
       1255|John        |Herzfeld        |     5.84620000|
       1550|Steven      |Anderson        |     5.84540000|
       1188|Martin      |Edwards         |     5.84400000|
       1152|Abderrahmane|Sissako         |     5.83840000|
       1352|Grant       |Olson           |     5.83520000|
       2184|James       |Ivory           |     5.82640000|
       3246|Maria       |Heland          |     5.82610000|
       3724|Nora        |Ephron          |     5.82200000|
       1560|Louis       |Saia            |     5.81910000|
