year|num|
----+--------+
1980|       1|
1981|       5|
1982|       3|
1983|       1|
1984|       1|
1985|       2|
1986|       2|
1987|       3|
1988|       1|
1989|       1|
1990|       3|
1991|       3|
1992|       1|
1993|       2|
1994|       4|
1995|       2|
1996|       4|
1997|       3|
1998|       1|
1999|       1|
2000|       1|
2002|       1|
2003|       5|
2004|       2|
2005|       1|
2006|       1|
2007|       1|
2008|       1|
2009|       2|
2010|       1|
2013|       4|
2014|       2|
2015|       2|
2016|       2|
2018|       1|
2019|       2|
2020|       3|
2021|       1|
2022|       5|
