title  |region  |year|avg_rate|introduction  |category |director_name|actor_name                             |
-------+--------+----+--------+--------------+---------+-------------+---------------------------------------+
movie15|region12|2003|     8.0|introduction15|category1|director15   |actor16,actor26,actor40                |
movie16|region16|1979|     0.0|introduction16|category6|director16   |actor24,actor25                        |
movie2 |region2 |2003|     1.0|introduction2 |category6|director2    |actor25,actor39                        |
movie20|region7 |1837|     9.0|introduction20|category9|director20   |actor12,actor21,actor5                 |
movie25|region28|1889|     5.0|introduction25|category6|director20   |actor12,actor16                        |
movie26|region39|1857|     2.0|introduction26|category6|director4    |actor13,actor15,actor40                |
movie28|region25|1972|    10.0|introduction28|category8|director7    |actor13,actor25,actor26,actor34,actor36|
movie32|region18|1971|     6.5|introduction32|category2|director5    |actor9                                 |
movie34|region3 |1900|     6.5|introduction34|category5|director3    |actor11,actor5,actor7                  |
movie35|region17|1859|     6.7|introduction35|category4|director19   |actor6                                 |
movie36|region7 |1810|     0.0|introduction36|category6|director7    |actor30,actor5                         |
movie5 |region23|1964|     6.3|introduction5 |category2|director5    |actor36                                |
movie6 |region11|1909|     6.0|introduction6 |category6|director6    |actor35                                |
