category |averageRating|name                                               |rates|
---------+-------------+---------------------------------------------------+-----+
Sci-Fi   |      5.59070|The Naked Monster                                  |  6.3|
Sci-Fi   |      5.59070|Escape to Grizzly Mountain                         |  6.1|
Sci-Fi   |      5.59070|Hollow Man                                         |  6.1|
Biography|      5.58235|Pierre Fatumbi Verger: Mensageiro Entre Dois Mundos|  6.1|
Biography|      5.58235|Ed Gein                                            |  6.0|
Biography|      5.58235|As White as in Snow                                |  6.0|
Sport    |      5.56250|Bring It On                                        |  6.0|
Sport    |      5.56250|Ready to Rumble                                    |  6.0|
Sport    |      5.56250|MVP: Most Valuable Primate                         |  5.9|
Mystery  |      5.55918|Exorcist: The Beginning                            |  6.0|
Mystery  |      5.55918|Unbreakable                                        |  6.0|
Mystery  |      5.55918|Minority Report                                    |  6.0|
Horror   |      5.55714|The Naked Monster                                  |  6.3|
Horror   |      5.55714|Hollow Man                                         |  6.1|
Horror   |      5.55714|Survival Island                                    |  6.0|
