title  |region  |year|avg_rate|introduction  |director_name|actor_name                             |
-------+--------+----+--------+--------------+-------------+---------------------------------------+
movie15|region12|2003|     0.0|introduction15|director15   |actor16,actor26,actor40                |
movie16|region16|1979|     0.0|introduction16|director16   |actor24,actor25                        |
movie2 |region2 |2003|     0.0|introduction2 |director2    |actor25,actor39                        |
movie20|region7 |1837|     0.0|introduction20|director20   |actor5,actor12,actor21                 |
movie25|region28|1889|     0.0|introduction25|director20   |actor16,actor12                        |
movie26|region39|1857|     0.0|introduction26|director4    |actor13,actor15,actor40                |
movie28|region25|1972|     0.0|introduction28|director7    |actor36,actor34,actor26,actor25,actor13|
movie32|region18|1971|     0.0|introduction32|director5    |actor9                                 |
movie34|region3 |1900|     0.0|introduction34|director3    |actor11,actor7,actor5                  |
movie35|region17|1859|     0.0|introduction35|director19   |actor6                                 |
movie36|region7 |1810|     0.0|introduction36|director7    |actor30,actor5                         |
movie5 |region23|1964|     0.0|introduction5 |director5    |actor36                                |
movie6 |region11|1909|     0.0|introduction6 |director6    |actor35                                |
